City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Huancabamba,PE,71.37,clear sky,-5.2386,-79.4506,Hospedaje El Dorado
365,Oussouye,SN,87.98,few clouds,12.485,-16.5469,Auberge du Routard
366,Hirara,JP,82.63,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
367,Tautira,PF,78.03,light rain,-17.7333,-149.15,Pension Oaoa
369,Adeje,ES,72.16,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
376,Vieux-Habitants,GP,85.57,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
378,Sheridan,US,78.31,clear sky,44.8333,-106.9173,Comfort Inn & Suites
380,El Estor,GT,86.81,light rain,15.5333,-89.35,Chalet Castillo
381,Lerum,SE,73.08,clear sky,57.7745,12.2697,Aspenäs Herrgård
383,New Amsterdam,GY,81.61,overcast clouds,6.25,-57.5167,Little Rock Suites
386,Soyo,AO,72.75,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
388,Nara,JP,80.49,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
389,Englewood,US,79.86,light rain,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
392,Fuerte Olimpo,PY,88.2,clear sky,-21.0415,-57.8738,Hospedaje DAMI
394,Ocos,GT,89.78,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
395,Tafresh,IR,78.64,clear sky,34.692,50.013,هتل یاس سفید
396,Marigot,MF,87.58,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
397,Biak,ID,75.51,few clouds,-0.9131,122.8766,Penginapan Kim
398,Sawakin,SD,88.5,clear sky,19.1059,37.3321,فندق الدويم
399,Itoman,JP,82.42,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
400,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
401,Raymond,US,79.23,overcast clouds,43.9015,-70.4703,Migis Lodge at Sebago Lake
402,Xinxiang,CN,75.99,clear sky,35.3089,113.8672,Guoyu Holiday Inn
403,Vung Tau,VN,81.16,light rain,10.346,107.0843,Seaside Resort
406,Booue,GA,72.73,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
410,Pa Sang,TH,79.0,moderate rain,18.5262,98.9394,โรงแรม จามจุรี 99
411,Pierre,US,84.85,clear sky,44.3683,-100.351,Ramkota Hotel
412,Sao Felix Do Xingu,BR,88.45,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
413,Pacific Grove,US,70.81,broken clouds,36.6177,-121.9166,Lovers Point Inn
418,Kutum,SD,82.27,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
419,Sukumo,JP,73.17,clear sky,32.9333,132.7333,Sukumojo
420,Zavidovici,BA,71.92,scattered clouds,44.4458,18.1497,A giant Stone Sphere
422,Roald,NO,72.16,clear sky,62.5833,6.1333,Flem Cabins
424,Caravelas,BR,73.6,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
425,Goderich,CA,72.88,overcast clouds,43.7501,-81.7165,Harmony Inn
